image_path,taxonomy_level,labels,note,post
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1817211590380244992.png,multimodal_taxonomy,"[{'reasoning': 'The image depicts Ronald Reagan, and the text overlaid on the image contains a quote attributed to him. However, fact-checking reveals that this quote is fabricated and does not originate from Ronald Reagan.', 'label': 'label_addition'}, {'reasoning': 'The image is a manipulated photograph, as the text is overlaid on the image and not part of the original photograph.', 'label': 'label_textual'}, {'reasoning': 'The post uses the image to promote a false claim about Democrats restricting freedoms and history, which is not supported by evidence.', 'label': 'label_misinterpretation_of_consequences'}, {'reasoning': 'The image is being used to mislead the audience by presenting a fabricated quote as if it were genuine.', 'label': 'label_denial'}]",There is no evidence that Ronald Reagan said this. The quote has been fact checked by the Ronald Reagan Presidential Foundation and several news sources:  https://x.com/RonaldReagan/status/1286100976181473282  https://www.reuters.com/article/world/fact-checkno-evidence-ronald-reagan-saiddemocrats-will-restrict-freedoms--idUSKCN24N23C/  https://www.usatoday.com/story/news/factcheck/2020/07/21/fact-check-ronald-reagan-didnt-say-democrats-would-restrict-freedoms/5483006002/,Reagan was so right. Are you paying attention? https://t.co/oBTsNDaIin
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1777424461035380737.png,multimodal_taxonomy,"[{'reasoning': 'The image is not from the April 8th eclipse, but from a tourism website. This demonstrates a clear mismatch between the image and the claim made in the post.', 'label': 'label_identity_mismatch'}, {'reasoning': 'The post claims a rare event (solar eclipse at Niagara Falls) that is not accurately represented by the image.', 'label': 'label_event_mismatch'}, {'reasoning': 'The image is presented as evidence of a specific event (solar eclipse at Niagara Falls), but it is actually a stock image from a tourism website.', 'label': 'label_image_text_focused:context_mismatch'}, {'reasoning': 'The image is presented as evidence of a claim, but the evidence is fabricated and misleading.', 'label': 'label_denial'}]","This photo both not real and not from the April 8th eclipse. Instead, it appears to be from the X handle @NiagaraAction, a tourism website.    https://x.com/niagaraaction/status/1761786913252323443?s=46&amp;t=7R2Ekg9XAVglMhbSPbQFkA",Enjoy the one in century. Solar eclipse at Niagara Falls https://t.co/xFsb9atEJj
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1777424461035380737.png,multimodal_taxonomy,"[{'reasoning': 'The image is not from the April 8th eclipse, but from a tourism website. This demonstrates a clear mismatch between the image and the claim made in the post.', 'label': 'label_identity_mismatch'}, {'reasoning': 'The post claims a solar eclipse at Niagara Falls, but the image shows a solar eclipse, indicating a false claim about the event depicted in the image.', 'label': 'label_event_mismatch'}, {'reasoning': 'The image is presented as evidence of a specific event (solar eclipse at Niagara Falls), but it is actually a stock image from a tourism website, thus misleading the audience.', 'label': 'label_misleading_representation'}, {'reasoning': 'The image is a manipulated image, as it is not from the date of the event it is being presented as.', 'label': 'label_addition'}]","This photo both not real and not from the April 8th eclipse. Instead, it appears to be from the X handle @NiagaraAction, a tourism website.    https://x.com/niagaraaction/status/1761786913252323443?s=46&amp;t=7R2Ekg9XAVglMhbSPbQFkA",Enjoy the one in century. Solar eclipse at Niagara Falls https://t.co/xFsb9atEJj
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1810104522741858304.png,multimodal_taxonomy,"[{'reasoning': 'The image is a screenshot of a tweet, but the tweet itself is a fabricated quote attributed to Taylor Swift. The text within the screenshot is not a genuine quote and contains inflammatory language.', 'label': 'label_addition'}, {'reasoning': 'The image is a manipulated screenshot of a tweet, as the original tweet is a parody.', 'label': 'label_fake details were added to the image using digital means, such as screenshotting and text overlaying.'}, {'reasoning': 'The post falsely claims that Taylor Swift said something about Trump being a fascist, which is not true. The image is used to support this false claim.', 'label': 'label_identity_mismatch'}, {'reasoning': 'The image is presented as evidence of a claim, but the evidence itself is fabricated and misleading.', 'label': 'label_denial'}, {'reasoning': ""The post uses a celebrity's name (Taylor Swift) to lend credibility to a false claim, which is a common tactic in misinformation campaigns."", 'label': 'label_imposter'}]",This isn't a real tweet and is marked as &quot;parody&quot; at the bottom of the screenshot. https://twitter.com/FaithRubPol/status/1810104561367183792,Big Announcement: Even Taylor Swift knows Trump is a fascist 👇👇👇 https://t.co/UJc8n6s4su
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1499770794322317315.png,multimodal_taxonomy,"[{'reasoning': 'The image is a screenshot of a political debate, but the text overlaid on the image contains a fabricated quote attributed to Kamala Harris. This is a clear example of manipulating an image to spread false information.', 'label': 'label_addition'}, {'reasoning': 'The image is a screenshot of a political debate, but the text overlaid on the image contains a fabricated quote attributed to Kamala Harris. This is a clear example of manipulating an image to spread false information.', 'label': 'label_textual'}, {'reasoning': 'The post contains a false claim about Kamala Harris, and the image is used to support this claim. The image is presented as evidence of a fabricated statement.', 'label': 'label_image_text_focused'}, {'reasoning': 'The image is a screenshot of a political debate, but the text overlaid on the image contains a fabricated quote attributed to Kamala Harris. This is a clear example of manipulating an image to spread false information.', 'label': 'label_denial'}]",This alleged quotation is in fact completely false. Harris never said these words. https://www.usatoday.com/story/news/factcheck/2021/04/29/fact-check-fake-quote-china-attributed-kamala-harris/7398323002/,https://t.co/y8WFzs7rAo
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1657632897665212421.png,multimodal_taxonomy,"[{'reasoning': ""The image is a generic, stock photo of a smiley face holding a sign with the word 'WTF?' which has no relation to the claims made in the post. It is used purely for visual effect and does not provide any evidence or support for the claims."", 'label': 'label_decorative'}, {'reasoning': 'The post contains several false claims about celebrities and alleged conspiracies. The image does not contribute to or support these claims.', 'label': 'label_ad'}, {'reasoning': 'The post is designed to provoke a strong reaction from the reader by presenting outlandish and unsubstantiated claims. The image is used to visually represent this provocative tone.', 'label': 'label_engagement_bait'}]","The quote attributed to Mel Gibson is fabricated: https://www.reuters.com/article/factcheck-gibson-children/fact-check-fabricated-quote-about-child-sacrifice-falsely-attributed-to-mel-gibson-idUSL1N31R0UK    Allison Mack never said anything about the Clintons: https://www.politifact.com/factchecks/2018/may/01/newly-press/smallville-actress-didnt-confess-selling-children-/    Megan Fox has said she and Machine Gun Kelly drink each others blood as part of a ritual, although it is “just a few drops” https://www.cnn.com/2022/04/27/entertainment/megan-fox-machine-gun-blood/index.html","Mel Gibson said that kids are raped, tortured, murdered during Satanic Ritual ceremonies. 

Megan Fox admitted her and Machine Gun Kelly drink blood. 

Allison Mack admitted she sold children to Bill &amp; Hilary Clinton and the Rothschilds. 

And we are the Conspiracy Theorists? https://t.co/dqeShGG8r4"
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1751643419938574336.png,multimodal_taxonomy,"[{'reasoning': 'The image is a graph showing data related to ideological alignment by age and gender over time. It is a visual representation of a statistical analysis.', 'label': 'label_visualize'}, {'reasoning': 'The post discusses replicating an analysis and finding little evidence of a growing gap. The image provides a visual representation of the data used in that analysis.', 'label': 'label_contextualize'}, {'reasoning': 'The image is a genuine graph, not manipulated or fabricated.', 'label': 'label_image_focused:image_focused'}, {'reasoning': 'The image is used to support the claim made in the post about the lack of evidence of a growing ideological gender gap.', 'label': 'label_informative_purpose:illustrate'}]","The original author of the FT’s data journalism piece has responded, indicating that the discrepancy between the results is due to using two different datasets. https://x.com/jburnmurdoch/status/1751673471795442043?s=46","A recent article in the Financial Times claims that there is an increasing ideological gender gap in several countries.

In this article, I replicate their analysis with GSS data and conclude that there is little evidence the gap in the US is growing.

https://t.co/0hvzUZzvqT https://t.co/wCd9GproZS"
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1830957359897964544.png,multimodal_taxonomy,"[{'reasoning': 'The image is a meme that uses a sarcastic tone to criticize the behavior of Philippine senators and representatives. It presents a biased and simplified view of a complex political situation.', 'label': 'label_other_misinterpretation_or_misleading_representation'}, {'reasoning': 'The image is a manipulated image, as it presents a simplified and potentially misleading portrayal of a political situation, using a meme format to convey a specific opinion.', 'label': 'label_addition'}, {'reasoning': 'The image is used to frame the situation in a negative light, portraying the senators and representatives as behaving superior to the Vice President, which is a biased and potentially misleading representation of the situation.', 'label': 'label_misinterpretation_of_consequences'}, {'reasoning': 'The image is a meme, which is a form of visual rhetoric used to convey a specific message and evoke an emotional response (sarcasm, ridicule).', 'label': 'label_decorative'}]","While it is true that such activities can be politically motivated, the Philippine government has 3 co-equal branches of legislative, executive, and judiciary to maintain checks and balances.    https://en.wikipedia.org/wiki/Congress_of_the_Philippines#Powers    Article IX D Section 4  https://www.officialgazette.gov.ph/constitutions/1987-constitution/#article-ix","Philippine politics at the moment is very turbulent. #BagongPilipinas #Budol 
#OVPBudget #VPSaraDuterte https://t.co/cWdGcjdQ1U"
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1730259303389372416.png,multimodal_taxonomy,"[{'reasoning': 'The image is a screenshot of a news article, which is presented as evidence to support a claim about a financial scandal. However, the fact-check verdict indicates that the article is fake.', 'label': 'label_image_text_focused:image_text_focused:denial'}, {'reasoning': 'The image is a fabricated news article, presented as evidence to support a claim. The fact-check verdict confirms that the article is fake.', 'label': 'label_image_text_focused:image_text_focused:label_AI_generated'}, {'reasoning': 'The post shares a link to a fake news article, and the image is a screenshot of that article. The fact-check verdict confirms the article is fake.', 'label': 'label_image_text_focused:image_text_focused:label_forgery'}]",Cited author says the story is fake https://twitter.com/Dimi/status/1730420907259146456,Hence the noise. https://t.co/khxm64nKID
/home/knf792/gits/MMFC-cnotes/data/tweet_images/1843462606645755904.png,multimodal_taxonomy,"[{'reasoning': 'The image shows a map with wind speeds, but the post claims the hurricane is breaking records and predicted to be the most powerful in history. The fact-check clarifies that the storm is weakening and the maximum wind speed is not as high as claimed.', 'label': 'label_image_text_focused:misleading_representation'}, {'reasoning': ""The post exaggerates the hurricane's intensity and categorizes it as a Category 6, which is not a recognized category on the Saffir-Simpson scale. The fact-check provides the correct scale and clarifies the storm's actual intensity."", 'label': 'label_image_text_focused:misleading_representation'}, {'reasoning': ""The image is a map showing wind speeds, but the post presents it as definitive proof of the hurricane's unprecedented strength, without proper context or explanation of the data."", 'label': 'label_image_text_focused:context_mismatch'}, {'reasoning': 'The post uses the image to create a sense of alarm and urgency, potentially misleading the public about the actual threat posed by the hurricane.', 'label': 'label_image_text_focused:misleading_representation'}]","The Saffir-Simpson scale classifies hurricanes based on the intensities of sustained winds using a 1-min average. Category 5 is the highest category on the scale.  https://www.weather.gov/mfl/saffirsimpson    Milton is one the strongest Atlantic storms on record, but the NHC is forecasting the dangerous storm to weaken.  https://www.nhc.noaa.gov/text/refresh/MIATCDAT4+shtml/080241.shtml","🚨Update: Hurricane Milton has reported 219mph winds, is breaking all kinds of records. It’s now predicted to be a Category 6 storm, the most powerful in history!! https://t.co/H8dszGbJIl"
